Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Sistema de Asesoramiento Nutriciona",2024-06-03,2024-10-15,97 day,0,"","",,"<p><br></p>"
2,2,"Etapa 1: Inicio",2024-06-03,2024-06-14,10 day,0,"","",,"<p><br></p>"
3,3,"1.1 Reunión de Inicio",2024-06-03,2024-06-05,3 day,0,"","",,"<p><br></p>"
4,4,"1.1.1 Definición de objetivos",2024-06-03,2024-06-04,2 day,0,"","",,"<p><br></p>"
4,5,"1.1.2 Presentación del equipo",2024-06-04,2024-06-04,1 day,0,"4FS-1 days","",,"<p><br></p>"
4,6,"1.1.3 Acuerdo sobre herramientas y metodologías",2024-06-05,2024-06-05,1 day,0,"5FS","",,"<p><br></p>"
3,7,"1.2 Revisión de Requerimientos",2024-06-06,2024-06-07,2 day,0,"","",,"<p><br></p>"
4,8,"1.2.1 Análisis de requerimientos iniciales",2024-06-06,2024-06-07,2 day,0,"6FS","",,"<p><br></p>"
4,9,"1.2.2 Revisión con stakeholders",2024-06-07,2024-06-07,1 day,0,"8FS-1 days","",,"<p><br></p>"
4,10,"1.2.3 Documentación de requisitos",2024-06-07,2024-06-07,1 day,0,"9FS-1 days","",,"<p><br></p>"
3,11,"1.3 Planificación del Proyecto",2024-06-10,2024-06-14,5 day,0,"","",,"<p><br></p>"
4,12,"1.3.1 Definición del alcance",2024-06-10,2024-06-10,1 day,0,"","",,"<p><br></p>"
4,13,"1.3.2 Creación de la estructura de desglose del trabajo (EDT)",2024-06-11,2024-06-12,2 day,0,"12FS","",,"<p><br></p>"
4,14,"1.3.3 Estimación de recursos y tiempo",2024-06-13,2024-06-14,2 day,0,"13FS","",,"<p><br></p>"
2,15,"Etapa 2: Planificación",2024-06-17,2024-06-28,10 day,0,"","",,"<p><br></p>"
3,16,"2.1 Diseño del formulario de registro",2024-06-17,2024-06-20,4 day,0,"","",,"<p><br></p>"
4,17,"2.1.1 Reunión de diseño",2024-06-17,2024-06-17,1 day,0,"","",,"<p><br></p>"
4,18,"2.1.2 Creación de wireframes",2024-06-18,2024-06-19,2 day,0,"17FS","",,"<p><br></p>"
4,19,"2.1.3 Validación de prototipos con usuarios",2024-06-20,2024-06-20,1 day,0,"18FS","",,"<p><br></p>"
3,20,"2.2 Implementación de la base de datos",2024-06-20,2024-06-25,4 day,0,"","",,"<p><br></p>"
4,21,"2.2.1 Diseño del esquema de base de datos",2024-06-20,2024-06-21,2 day,0,"19FS-1 days","",,"<p><br></p>"
4,22,"2.2.2 Configuración de servidores",2024-06-24,2024-06-24,1 day,0,"21FS","",,"<p><br></p>"
4,23,"2.2.3 Pruebas iniciales de base de datos",2024-06-25,2024-06-25,1 day,0,"22FS","",,"<p><br></p>"
3,24,"2.3 Validación de datos",2024-06-25,2024-06-27,3 day,0,"","",,"<p><br></p>"
4,25,"2.3.1 Desarrollo de lógica de validación",2024-06-25,2024-06-26,2 day,0,"22FS","",,"<p><br></p>"
4,26,"2.3.2 Implementación en backend",2024-06-25,2024-06-26,2 day,0,"22FS","",,"<p><br></p>"
4,27,"2.3.3 Pruebas de validación",2024-06-27,2024-06-27,1 day,0,"26FS","",,"<p><br></p>"
3,28,"2.4 Diseño del formulario de ingreso de datos",2024-06-27,2024-06-28,2 day,0,"","",,"<p><br></p>"
4,29,"2.4.1 Reunión de diseño",2024-06-27,2024-06-27,1 day,0,"27FS-1 days","",,"<p><br></p>"
4,30,"2.4.2 Creación de wireframes",2024-06-28,2024-06-28,1 day,0,"29FS","",,"<p><br></p>"
4,31,"2.4.3 Validación de prototipos con usuarios",2024-06-28,2024-06-28,1 day,0,"29FS","",,"<p><br></p>"
2,32,"Etapa 3: Ejecución",2024-07-01,2024-08-09,30 day,0,"","",,"<p><br></p>"
3,33,"Sprint 1: Registro y Datos Biométricos (2 semanas)",2024-07-01,2024-07-12,10 day,0,"","",,"<p><br></p>"
4,34,"3.1 Implementación del formulario de registro",2024-07-01,2024-07-04,4 day,0,"","",,"<p><br></p>"
5,35,"3.1.1 Desarrollo del frontend",2024-07-01,2024-07-02,2 day,0,"","",,"<p><br></p>"
5,36,"3.1.2 Integración con backend",2024-07-02,2024-07-03,2 day,0,"35FS-1 days","",,"<p><br></p>"
5,37,"3.1.3 Pruebas de usabilidad",2024-07-04,2024-07-04,1 day,0,"36FS","",,"<p><br></p>"
4,38,"3.2 Implementación de la base de datos",2024-07-05,2024-07-09,3 day,0,"","",,"<p><br></p>"
5,39,"3.2.1 Desarrollo del esquema de base de datos",2024-07-05,2024-07-05,1 day,0,"37FS","",,"<p><br></p>"
5,40,"3.2.2 Configuración del servidor",2024-07-08,2024-07-08,1 day,0,"39FS","",,"<p><br></p>"
5,41,"3.2.3 Pruebas iniciales",2024-07-09,2024-07-09,1 day,0,"40FS","",,"<p><br></p>"
4,42,"3.3 Validación de datos",2024-07-10,2024-07-12,3 day,0,"","",,"<p><br></p>"
5,43,"3.3.1 Desarrollo de lógica de validación",2024-07-10,2024-07-11,2 day,0,"41FS","",,"<p><br></p>"
5,44,"3.3.2 Implementación en backend",2024-07-11,2024-07-12,2 day,0,"43FS-1 days","",,"<p><br></p>"
5,45,"3.3.3 Pruebas de validación",2024-07-12,2024-07-12,1 day,0,"44FS-1 days","",,"<p><br></p>"
3,46,"Sprint 2: Ingreso de Datos Biométricos (1.5 semanas)",2024-07-15,2024-07-26,10 day,0,"","",,"<p><br></p>"
4,47,"3.4 Implementación del formulario de ingreso de datos",2024-07-15,2024-07-17,3 day,0,"","",,"<p><br></p>"
5,48,"3.4.1 Desarrollo del frontend",2024-07-15,2024-07-15,1 day,0,"","",,"<p><br></p>"
5,49,"3.4.2 Integración con backend",2024-07-16,2024-07-16,1 day,0,"48FS","",,"<p><br></p>"
5,50,"3.4.3 Pruebas de usabilidad",2024-07-17,2024-07-17,1 day,0,"49FS","",,"<p><br></p>"
4,51,"3.5 Validación de datos",2024-07-18,2024-07-22,3 day,0,"","",,"<p><br></p>"
5,52,"3.5.1 Desarrollo de lógica de validación",2024-07-18,2024-07-18,1 day,0,"50FS","",,"<p><br></p>"
5,53,"3.5.2 Implementación en backend",2024-07-19,2024-07-19,1 day,0,"52FS","",,"<p><br></p>"
5,54,"3.5.3 Pruebas de validación",2024-07-22,2024-07-22,1 day,0,"53FS","",,"<p><br></p>"
4,55,"3.6 Actualización de la base de datos",2024-07-23,2024-07-26,4 day,0,"","",,"<p><br></p>"
5,56,"3.6.1 Ajuste del esquema de base de datos",2024-07-23,2024-07-23,1 day,0,"54FS","",,"<p><br></p>"
5,57,"3.6.2 Implementación de cambios",2024-07-23,2024-07-23,1 day,0,"56FS-1 days","",,"<p><br></p>"
5,58,"3.6.3 Pruebas de actualización y rendimiento",2024-07-24,2024-07-24,1 day,0,"57FS","",,"<p><br></p>"
5,125,"Dias de descanso",2024-07-25,2024-07-26,2 day,0,"","",31,"<p><br></p>"
3,59,"Sprint 3: Recomendaciones Personalizadas (2 semanas)",2024-07-29,2024-08-09,10 day,0,"","",,"<p><br></p>"
4,60,"3.7 Desarrollo del algoritmo de recomendaciones",2024-07-29,2024-08-02,5 day,0,"","",,"<p><br></p>"
